# ["--data_set_name=dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds", "--n_epochs=60", "--batch_size=128", "--learning_rate=0.0005", "--hidden_size=256", "--temperature=1.5", "--temp_update=0.99", "--length_cost=0.0", "--vocab_size_factor=3"]
data loaded from: ../zoo/intentional_game/data/dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds

opts
 Namespace(batch_size=128, checkpoint_dir=None, checkpoint_freq=0, cuda=True, data_set_name='dim[4, 4, 4, 4, 4]_dist10-0_scale10_upsampleTrue_balancedFalse.ds', device=device(type='cuda'), distributed_context=DistributedContext(is_distributed=False, rank=0, local_rank=0, world_size=1, mode='none'), distributed_port=18363, fp16=False, hidden_size=256, learning_rate=0.0005, length_cost=0.0, load_from_checkpoint=None, lr=0.01, max_len=1, mode='gs', n_epochs=60, no_cuda=False, optimizer='adam', preemptable=False, random_seed=1583639243, receiver_cell='gru', save_interaction_freq=0, sender_cell='gru', temp_update=0.99, temperature=1.5, tensorboard=False, tensorboard_dir='runs/', update_freq=1, validation_freq=1, vocab_size=10, vocab_size_factor=3)
{"loss": 2.373702049255371, "acc": 0.07902602851390839, "length": 1.9917014837265015, "mode": "train", "epoch": 1}
{"loss": 2.3172707557678223, "acc": 0.09943348169326782, "length": 2.0564563274383545, "mode": "test", "epoch": 1}
{"loss": 2.2278218269348145, "acc": 0.1254042387008667, "length": 2.8317129611968994, "mode": "train", "epoch": 2}
{"loss": 2.2139854431152344, "acc": 0.13479195535182953, "length": 3.0472748279571533, "mode": "test", "epoch": 2}
{"loss": 2.104724407196045, "acc": 0.15148261189460754, "length": 3.2720446586608887, "mode": "train", "epoch": 3}
{"loss": 2.078348398208618, "acc": 0.15852706134319305, "length": 3.577554225921631, "mode": "test", "epoch": 3}
{"loss": 1.9593135118484497, "acc": 0.20935194194316864, "length": 3.611389398574829, "mode": "train", "epoch": 4}
{"loss": 1.9190205335617065, "acc": 0.22816956043243408, "length": 3.706094980239868, "mode": "test", "epoch": 4}
{"loss": 1.7781288623809814, "acc": 0.27961790561676025, "length": 3.982814073562622, "mode": "train", "epoch": 5}
{"loss": 1.7440969944000244, "acc": 0.27134206891059875, "length": 4.0858564376831055, "mode": "test", "epoch": 5}
{"loss": 1.6668308973312378, "acc": 0.2939937710762024, "length": 4.122025489807129, "mode": "train", "epoch": 6}
{"loss": 1.685049057006836, "acc": 0.28257471323013306, "length": 4.132936000823975, "mode": "test", "epoch": 6}
{"loss": 1.609391212463379, "acc": 0.3249660134315491, "length": 4.157349586486816, "mode": "train", "epoch": 7}
{"loss": 1.6282074451446533, "acc": 0.32350069284439087, "length": 4.193299293518066, "mode": "test", "epoch": 7}
{"loss": 1.542721152305603, "acc": 0.3613918125629425, "length": 4.203930377960205, "mode": "train", "epoch": 8}
{"loss": 1.5691287517547607, "acc": 0.3465520739555359, "length": 4.25483512878418, "mode": "test", "epoch": 8}
{"loss": 1.484062671661377, "acc": 0.39237672090530396, "length": 4.263034820556641, "mode": "train", "epoch": 9}
{"loss": 1.56409752368927, "acc": 0.35798007249832153, "length": 4.257667541503906, "mode": "test", "epoch": 9}
{"loss": 1.4285622835159302, "acc": 0.40985482931137085, "length": 4.281230449676514, "mode": "train", "epoch": 10}
{"loss": 1.474724292755127, "acc": 0.39607346057891846, "length": 4.278862953186035, "mode": "test", "epoch": 10}
{"loss": 1.373694658279419, "acc": 0.42734295129776, "length": 4.2904510498046875, "mode": "train", "epoch": 11}
{"loss": 1.43598210811615, "acc": 0.41189685463905334, "length": 4.311486721038818, "mode": "test", "epoch": 11}
{"loss": 1.3211228847503662, "acc": 0.45367708802223206, "length": 4.301114559173584, "mode": "train", "epoch": 12}
{"loss": 1.3822165727615356, "acc": 0.42801329493522644, "length": 4.312756538391113, "mode": "test", "epoch": 12}
{"loss": 1.27269446849823, "acc": 0.46933338046073914, "length": 4.31320858001709, "mode": "train", "epoch": 13}
{"loss": 1.3439769744873047, "acc": 0.4474506676197052, "length": 4.315002918243408, "mode": "test", "epoch": 13}
{"loss": 1.2274885177612305, "acc": 0.4899121820926666, "length": 4.327479362487793, "mode": "train", "epoch": 14}
{"loss": 1.3202027082443237, "acc": 0.458585649728775, "length": 4.310607433319092, "mode": "test", "epoch": 14}
{"loss": 1.1820459365844727, "acc": 0.5097761750221252, "length": 4.361843585968018, "mode": "train", "epoch": 15}
{"loss": 1.273419976234436, "acc": 0.4727485775947571, "length": 4.3984174728393555, "mode": "test", "epoch": 15}
{"loss": 1.1264100074768066, "acc": 0.5391432046890259, "length": 4.401872634887695, "mode": "train", "epoch": 16}
{"loss": 1.2069240808486938, "acc": 0.5077163577079773, "length": 4.388649940490723, "mode": "test", "epoch": 16}
{"loss": 1.0589457750320435, "acc": 0.574142575263977, "length": 4.435477256774902, "mode": "train", "epoch": 17}
{"loss": 1.1506341695785522, "acc": 0.5378003716468811, "length": 4.462981224060059, "mode": "test", "epoch": 17}
{"loss": 0.9887981414794922, "acc": 0.6067951917648315, "length": 4.4953227043151855, "mode": "train", "epoch": 18}
{"loss": 1.0975828170776367, "acc": 0.5712053179740906, "length": 4.4841766357421875, "mode": "test", "epoch": 18}
{"loss": 0.9167760610580444, "acc": 0.641514778137207, "length": 4.58219051361084, "mode": "train", "epoch": 19}
{"loss": 0.9904813766479492, "acc": 0.6149638891220093, "length": 4.769095420837402, "mode": "test", "epoch": 19}
{"loss": 0.7831628918647766, "acc": 0.7042487859725952, "length": 4.7416863441467285, "mode": "train", "epoch": 20}
{"loss": 0.8898458480834961, "acc": 0.6687829494476318, "length": 4.790388584136963, "mode": "test", "epoch": 20}
{"loss": 0.6969678997993469, "acc": 0.7475831508636475, "length": 4.860595703125, "mode": "train", "epoch": 21}
{"loss": 0.8296238780021667, "acc": 0.6949599385261536, "length": 4.843621730804443, "mode": "test", "epoch": 21}
{"loss": 0.6049768328666687, "acc": 0.7841699123382568, "length": 4.88705587387085, "mode": "train", "epoch": 22}
{"loss": 0.7362350821495056, "acc": 0.7380347847938538, "length": 4.968353271484375, "mode": "test", "epoch": 22}
{"loss": 0.5290133357048035, "acc": 0.815101146697998, "length": 4.949977397918701, "mode": "train", "epoch": 23}
{"loss": 0.6594505310058594, "acc": 0.7656769156455994, "length": 4.996288299560547, "mode": "test", "epoch": 23}
{"loss": 0.454271137714386, "acc": 0.8479319214820862, "length": 4.998936653137207, "mode": "train", "epoch": 24}
{"loss": 0.5787835717201233, "acc": 0.8055284023284912, "length": 5.043660640716553, "mode": "test", "epoch": 24}
{"loss": 0.36781394481658936, "acc": 0.8813283443450928, "length": 5.017323017120361, "mode": "train", "epoch": 25}
{"loss": 0.5380984544754028, "acc": 0.8155890107154846, "length": 5.081949710845947, "mode": "test", "epoch": 25}
{"loss": 0.3223300576210022, "acc": 0.8992171883583069, "length": 5.0591254234313965, "mode": "train", "epoch": 26}
{"loss": 0.4467201232910156, "acc": 0.8482125401496887, "length": 5.076186656951904, "mode": "test", "epoch": 26}
{"loss": 0.2740938663482666, "acc": 0.9158634543418884, "length": 5.1164231300354, "mode": "train", "epoch": 27}
